79 2
67.746772 44.931216 -1
66.575790 43.630365 -1
67.863079 44.114132 -1
66.318425 43.524697 -1
67.360936 46.793830 -1
67.277334 43.731501 -1
67.797044 46.150934 -1
66.661306 47.349179 -1
67.298916 45.231102 -1
67.680760 45.914603 -1
67.300927 45.700412 -1
65.829629 44.859750 -1
67.277607 46.361823 -1
81.756393 35.672213 -1
82.304588 37.164958 -1
80.610794 36.610464 -1
80.532418 37.375782 -1
81.693771 38.737863 -1
80.955784 37.580411 -1
82.336733 34.545894 -1
30.404697 77.338968 1
30.533029 77.118530 1
30.948923 77.863624 1
31.475746 75.310938 1
30.643064 77.229526 1
30.953562 79.873327 1
29.941651 76.254529 1
30.339646 76.296727 1
31.258868 77.559769 1
92.638145 76.936654 -1
91.658712 76.900820 -1
92.040720 77.620381 -1
91.885301 77.264838 -1
91.429050 76.702329 -1
91.084835 77.377472 -1
62.944024 58.931444 -1
63.174056 58.328091 -1
63.483686 61.029160 -1
63.152721 63.361538 -1
63.841687 60.955940 -1
63.345315 62.111722 -1
64.288746 61.704076 -1
63.716499 60.063564 -1
64.115936 59.583248 -1
93.064961 73.978938 -1
93.285379 75.545305 -1
92.339821 74.697049 -1
93.174888 72.739500 -1
92.544357 74.524867 -1
92.644514 75.087169 -1
92.663333 73.856011 -1
91.597510 75.716405 -1
92.906428 74.887182 -1
93.489153 74.013062 -1
4.572644 71.180099 1
6.372956 71.546796 1
3.977704 71.170783 1
5.400960 70.548713 1
5.237756 70.542006 1
3.770727 69.406598 1
26.967272 24.214929 1
26.771919 20.654689 1
26.442075 23.528392 1
27.454621 20.246202 1
26.073366 20.433448 1
68.140847 40.329960 -1
67.512342 38.544722 -1
67.565493 36.925975 -1
68.085457 40.405375 -1
68.420803 39.429576 -1
68.586396 36.901814 -1
68.527961 39.271838 -1
67.632578 35.322105 -1
66.443117 38.596009 -1
37.913269 66.377178 1
36.876286 66.999700 1
37.985400 66.325607 1
37.833532 65.779742 1
36.251624 69.697067 1
