60 2
83.989186 25.616131 -1
82.619088 24.850728 -1
82.427294 25.253570 -1
83.169523 25.366909 -1
83.399962 26.616991 -1
62.486572 79.620595 -1
63.064909 81.037271 -1
64.995354 79.901312 -1
62.813221 77.976806 -1
63.814393 79.487406 -1
4.536728 71.140286 1
4.470304 69.556413 1
5.361434 70.116540 1
5.833155 70.700147 1
4.653947 70.160783 1
87.199914 68.422712 -1
87.701328 72.105776 -1
86.707800 71.486659 -1
87.886944 69.025430 -1
87.458076 69.005439 -1
31.800555 69.864410 1
30.877834 68.923679 1
30.445105 67.971846 1
30.365353 66.174256 1
31.627060 66.641060 1
23.139033 11.342291 1
21.222418 11.730146 1
22.453434 11.120416 1
24.214993 10.349057 1
23.055629 10.377983 1
86.770283 4.065583 -1
89.018159 5.482887 -1
87.784145 3.131120 -1
86.544300 4.714221 -1
86.593182 3.000320 -1
72.000543 84.755402 -1
72.321241 88.712153 -1
71.536694 86.741799 -1
72.227503 86.621331 -1
73.445310 86.070903 -1
8.286299 3.815177 1
7.357276 7.841445 1
7.089912 6.940445 1
8.258202 6.157822 1
9.209386 5.785887 1
21.041412 88.887507 1
21.386715 89.000691 1
22.102287 86.798155 1
21.237034 87.829100 1
21.394329 89.283894 1
9.476417 43.347942 1
8.728739 40.965715 1
8.382206 40.908524 1
8.521780 39.670186 1
8.275781 42.567921 1
6.998532 71.315773 1
6.309704 71.354824 1
6.213745 69.244516 1
5.808107 71.654542 1
6.785545 70.106678 1

